"sigma (Pa)","vtkValidPointMask","vtkGhostType"
4.21667e-03,1,0
4.11131e-03,1,0
4.00594e-03,1,0
3.90057e-03,1,0
3.79521e-03,1,0
3.68984e-03,1,0
3.58448e-03,1,0
3.47911e-03,1,0
3.37374e-03,1,0
3.26838e-03,1,0
3.16301e-03,1,0
3.05765e-03,1,0
2.95228e-03,1,0
2.84692e-03,1,0
2.74155e-03,1,0
2.63618e-03,1,0
2.53082e-03,1,0
2.42545e-03,1,0
2.32009e-03,1,0
2.21472e-03,1,0
2.10935e-03,1,0
2.00399e-03,1,0
1.89862e-03,1,0
1.79326e-03,1,0
1.68789e-03,1,0
1.58253e-03,1,0
1.47716e-03,1,0
1.37179e-03,1,0
1.26643e-03,1,0
1.16106e-03,1,0
1.05570e-03,1,0
9.50331e-04,1,0
9.33027e-04,1,0
9.36045e-04,1,0
9.39063e-04,1,0
9.42081e-04,1,0
9.45099e-04,1,0
9.48117e-04,1,0
9.51135e-04,1,0
9.54153e-04,1,0
9.57171e-04,1,0
9.60189e-04,1,0
9.63207e-04,1,0
9.66225e-04,1,0
9.69243e-04,1,0
9.72261e-04,1,0
9.75279e-04,1,0
9.78297e-04,1,0
9.81315e-04,1,0
9.84333e-04,1,0
9.87351e-04,1,0
9.90369e-04,1,0
9.93387e-04,1,0
9.96405e-04,1,0
9.99423e-04,1,0
1.00244e-03,1,0
1.00546e-03,1,0
1.00848e-03,1,0
1.01150e-03,1,0
1.01451e-03,1,0
1.01753e-03,1,0
1.02055e-03,1,0
1.02357e-03,1,0
1.02146e-03,1,0
1.01628e-03,1,0
1.01110e-03,1,0
1.00592e-03,1,0
1.00073e-03,1,0
9.95553e-04,1,0
9.90372e-04,1,0
9.85190e-04,1,0
9.80009e-04,1,0
9.74827e-04,1,0
9.69646e-04,1,0
9.64464e-04,1,0
9.59283e-04,1,0
9.54102e-04,1,0
9.48920e-04,1,0
9.43739e-04,1,0
9.38557e-04,1,0
9.33376e-04,1,0
9.28194e-04,1,0
9.23013e-04,1,0
9.17831e-04,1,0
9.12650e-04,1,0
9.07468e-04,1,0
9.02287e-04,1,0
8.97105e-04,1,0
8.91924e-04,1,0
8.86742e-04,1,0
8.81561e-04,1,0
8.76379e-04,1,0
8.71198e-04,1,0
8.66016e-04,1,0
8.60097e-04,1,0
8.53230e-04,1,0
8.46363e-04,1,0
8.39496e-04,1,0
8.32628e-04,1,0
8.25761e-04,1,0
8.18894e-04,1,0
8.12027e-04,1,0
8.05159e-04,1,0
7.98292e-04,1,0
7.91425e-04,1,0
7.84558e-04,1,0
7.77691e-04,1,0
7.70823e-04,1,0
7.63956e-04,1,0
7.57089e-04,1,0
7.50222e-04,1,0
7.43354e-04,1,0
7.36487e-04,1,0
7.29620e-04,1,0
7.22753e-04,1,0
7.15885e-04,1,0
7.09018e-04,1,0
7.02151e-04,1,0
6.95284e-04,1,0
6.88417e-04,1,0
6.81549e-04,1,0
6.74682e-04,1,0
6.67815e-04,1,0
6.60948e-04,1,0
6.54080e-04,1,0
6.47946e-04,1,0
6.44012e-04,1,0
6.40077e-04,1,0
6.36142e-04,1,0
6.32207e-04,1,0
6.28273e-04,1,0
6.24338e-04,1,0
6.20403e-04,1,0
6.16469e-04,1,0
6.12534e-04,1,0
6.08599e-04,1,0
6.04665e-04,1,0
6.00730e-04,1,0
5.96795e-04,1,0
5.92860e-04,1,0
5.88926e-04,1,0
5.84991e-04,1,0
5.81056e-04,1,0
5.77122e-04,1,0
5.73187e-04,1,0
5.69252e-04,1,0
5.65317e-04,1,0
5.61383e-04,1,0
5.57448e-04,1,0
5.53513e-04,1,0
5.49579e-04,1,0
5.45644e-04,1,0
5.41709e-04,1,0
5.37775e-04,1,0
5.33840e-04,1,0
5.29905e-04,1,0
5.25855e-04,1,0
5.20077e-04,1,0
5.14299e-04,1,0
5.08521e-04,1,0
5.02743e-04,1,0
4.96965e-04,1,0
4.91187e-04,1,0
4.85409e-04,1,0
4.79630e-04,1,0
4.73852e-04,1,0
4.68074e-04,1,0
4.62296e-04,1,0
4.56518e-04,1,0
4.50740e-04,1,0
4.44962e-04,1,0
4.39184e-04,1,0
4.33406e-04,1,0
4.27628e-04,1,0
4.21850e-04,1,0
4.16071e-04,1,0
4.10293e-04,1,0
4.04515e-04,1,0
3.98737e-04,1,0
3.92959e-04,1,0
3.87181e-04,1,0
3.81403e-04,1,0
3.75625e-04,1,0
3.69847e-04,1,0
3.64069e-04,1,0
3.58291e-04,1,0
3.52512e-04,1,0
3.46734e-04,1,0
3.41473e-04,1,0
3.36287e-04,1,0
3.31100e-04,1,0
3.25913e-04,1,0
3.20726e-04,1,0
3.15539e-04,1,0
3.10352e-04,1,0
3.05165e-04,1,0
2.99978e-04,1,0
2.94791e-04,1,0
2.89604e-04,1,0
2.84417e-04,1,0
2.79230e-04,1,0
2.74043e-04,1,0
2.68856e-04,1,0
2.63669e-04,1,0
2.58482e-04,1,0
2.53295e-04,1,0
2.48108e-04,1,0
2.42922e-04,1,0
2.37735e-04,1,0
2.32548e-04,1,0
2.27361e-04,1,0
2.22174e-04,1,0
2.16987e-04,1,0
2.11800e-04,1,0
