"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.00000e+00,1.00000e-01,0.00000e+00,0.00000e+00
0,2.54000e-02,1.00000e-01,2.54000e-02,0.00000e+00
0,5.08000e-02,1.00000e-01,5.08000e-02,0.00000e+00
0,7.62000e-02,1.00000e-01,7.62000e-02,0.00000e+00
0,1.01600e-01,1.00000e-01,1.01600e-01,0.00000e+00
0,1.27000e-01,1.00000e-01,1.27000e-01,0.00000e+00
0,1.52400e-01,1.00000e-01,1.52400e-01,0.00000e+00
0,1.77800e-01,1.00000e-01,1.77800e-01,0.00000e+00
0,2.03200e-01,1.00000e-01,2.03200e-01,0.00000e+00
0,2.28600e-01,1.00000e-01,2.28600e-01,0.00000e+00
0,2.54000e-01,1.00000e-01,2.54000e-01,0.00000e+00
0,2.79400e-01,1.00000e-01,2.79400e-01,0.00000e+00
0,3.04800e-01,1.00000e-01,3.04800e-01,0.00000e+00
0,3.30200e-01,1.00000e-01,3.30200e-01,0.00000e+00
0,3.55600e-01,1.00000e-01,3.55600e-01,0.00000e+00
0,3.81000e-01,1.00000e-01,3.81000e-01,0.00000e+00
0,4.06400e-01,1.00000e-01,4.06400e-01,0.00000e+00
0,4.31800e-01,1.00000e-01,4.31800e-01,0.00000e+00
0,4.57200e-01,1.00000e-01,4.57200e-01,0.00000e+00
0,4.82600e-01,1.00000e-01,4.82600e-01,0.00000e+00
0,5.08000e-01,1.00000e-01,5.08000e-01,0.00000e+00
0,5.33400e-01,1.00000e-01,5.33400e-01,0.00000e+00
0,5.58800e-01,1.00000e-01,5.58800e-01,0.00000e+00
0,5.84200e-01,1.00000e-01,5.84200e-01,0.00000e+00
0,6.09600e-01,1.00000e-01,6.09600e-01,0.00000e+00
0,6.35000e-01,1.00000e-01,6.35000e-01,0.00000e+00
0,6.60400e-01,1.00000e-01,6.60400e-01,0.00000e+00
0,6.85800e-01,1.00000e-01,6.85800e-01,0.00000e+00
0,7.11200e-01,1.00000e-01,7.11200e-01,0.00000e+00
0,7.36600e-01,1.00000e-01,7.36600e-01,0.00000e+00
0,7.62000e-01,1.00000e-01,7.62000e-01,0.00000e+00
0,7.87400e-01,1.00000e-01,7.87400e-01,0.00000e+00
0,8.12800e-01,1.00000e-01,8.12800e-01,0.00000e+00
0,8.38200e-01,1.00000e-01,8.38200e-01,0.00000e+00
0,8.63600e-01,1.00000e-01,8.63600e-01,0.00000e+00
0,8.89000e-01,1.00000e-01,8.89000e-01,0.00000e+00
0,9.14400e-01,1.00000e-01,9.14400e-01,0.00000e+00
0,9.39800e-01,1.00000e-01,9.39800e-01,0.00000e+00
0,9.65200e-01,1.00000e-01,9.65200e-01,0.00000e+00
0,9.90600e-01,1.00000e-01,9.90600e-01,0.00000e+00
0,1.01600e+00,1.00000e-01,1.01600e+00,0.00000e+00
0,1.04140e+00,1.00000e-01,1.04140e+00,0.00000e+00
0,1.06680e+00,1.00000e-01,1.06680e+00,0.00000e+00
0,1.09220e+00,1.00000e-01,1.09220e+00,0.00000e+00
0,1.11760e+00,1.00000e-01,1.11760e+00,0.00000e+00
0,1.14300e+00,1.00000e-01,1.14300e+00,0.00000e+00
0,1.16840e+00,1.00000e-01,1.16840e+00,0.00000e+00
0,1.19380e+00,1.00000e-01,1.19380e+00,0.00000e+00
0,1.21920e+00,1.00000e-01,1.21920e+00,0.00000e+00
0,1.24460e+00,1.00000e-01,1.24460e+00,0.00000e+00
0,1.27000e+00,1.00000e-01,1.27000e+00,0.00000e+00
0,1.29540e+00,1.00000e-01,1.29540e+00,0.00000e+00
0,1.32080e+00,1.00000e-01,1.32080e+00,0.00000e+00
0,1.34620e+00,1.00000e-01,1.34620e+00,0.00000e+00
0,1.37160e+00,1.00000e-01,1.37160e+00,0.00000e+00
0,1.39700e+00,1.00000e-01,1.39700e+00,0.00000e+00
0,1.42240e+00,1.00000e-01,1.42240e+00,0.00000e+00
0,1.44780e+00,1.00000e-01,1.44780e+00,0.00000e+00
0,1.47320e+00,1.00000e-01,1.47320e+00,0.00000e+00
0,1.49860e+00,1.00000e-01,1.49860e+00,0.00000e+00
0,1.52400e+00,1.00000e-01,1.52400e+00,0.00000e+00
0,1.54940e+00,1.00000e-01,1.54940e+00,0.00000e+00
0,1.57480e+00,1.00000e-01,1.57480e+00,0.00000e+00
0,1.60020e+00,1.00000e-01,1.60020e+00,0.00000e+00
0,1.62560e+00,1.00000e-01,1.62560e+00,0.00000e+00
0,1.65100e+00,1.00000e-01,1.65100e+00,0.00000e+00
0,1.67640e+00,1.00000e-01,1.67640e+00,0.00000e+00
0,1.70180e+00,1.00000e-01,1.70180e+00,0.00000e+00
0,1.72720e+00,1.00000e-01,1.72720e+00,0.00000e+00
0,1.75260e+00,1.00000e-01,1.75260e+00,0.00000e+00
0,1.77800e+00,1.00000e-01,1.77800e+00,0.00000e+00
0,1.80340e+00,1.00000e-01,1.80340e+00,0.00000e+00
0,1.82880e+00,1.00000e-01,1.82880e+00,0.00000e+00
0,1.85420e+00,1.00000e-01,1.85420e+00,0.00000e+00
0,1.87960e+00,1.00000e-01,1.87960e+00,0.00000e+00
0,1.90500e+00,1.00000e-01,1.90500e+00,0.00000e+00
0,1.93040e+00,1.00000e-01,1.93040e+00,0.00000e+00
0,1.95580e+00,1.00000e-01,1.95580e+00,0.00000e+00
0,1.98120e+00,1.00000e-01,1.98120e+00,0.00000e+00
0,2.00660e+00,1.00000e-01,2.00660e+00,0.00000e+00
0,2.03200e+00,1.00000e-01,2.03200e+00,0.00000e+00
0,2.05740e+00,1.00000e-01,2.05740e+00,0.00000e+00
0,2.08280e+00,1.00000e-01,2.08280e+00,0.00000e+00
0,2.10820e+00,1.00000e-01,2.10820e+00,0.00000e+00
0,2.13360e+00,1.00000e-01,2.13360e+00,0.00000e+00
0,2.15900e+00,1.00000e-01,2.15900e+00,0.00000e+00
0,2.18440e+00,1.00000e-01,2.18440e+00,0.00000e+00
0,2.20980e+00,1.00000e-01,2.20980e+00,0.00000e+00
0,2.23520e+00,1.00000e-01,2.23520e+00,0.00000e+00
0,2.26060e+00,1.00000e-01,2.26060e+00,0.00000e+00
0,2.28600e+00,1.00000e-01,2.28600e+00,0.00000e+00
0,2.31140e+00,1.00000e-01,2.31140e+00,0.00000e+00
0,2.33680e+00,1.00000e-01,2.33680e+00,0.00000e+00
0,2.36220e+00,1.00000e-01,2.36220e+00,0.00000e+00
0,2.38760e+00,1.00000e-01,2.38760e+00,0.00000e+00
0,2.41300e+00,1.00000e-01,2.41300e+00,0.00000e+00
0,2.43840e+00,1.00000e-01,2.43840e+00,0.00000e+00
0,2.46380e+00,1.00000e-01,2.46380e+00,0.00000e+00
0,2.48920e+00,1.00000e-01,2.48920e+00,0.00000e+00
0,2.51460e+00,1.00000e-01,2.51460e+00,0.00000e+00
0,2.54000e+00,1.00000e-01,2.54000e+00,0.00000e+00
0,2.56540e+00,1.00000e-01,2.56540e+00,0.00000e+00
0,2.59080e+00,1.00000e-01,2.59080e+00,0.00000e+00
0,2.61620e+00,1.00000e-01,2.61620e+00,0.00000e+00
0,2.64160e+00,1.00000e-01,2.64160e+00,0.00000e+00
0,2.66700e+00,1.00000e-01,2.66700e+00,0.00000e+00
0,2.69240e+00,1.00000e-01,2.69240e+00,0.00000e+00
0,2.71780e+00,1.00000e-01,2.71780e+00,0.00000e+00
0,2.74320e+00,1.00000e-01,2.74320e+00,0.00000e+00
0,2.76860e+00,1.00000e-01,2.76860e+00,0.00000e+00
0,2.79400e+00,1.00000e-01,2.79400e+00,0.00000e+00
0,2.81940e+00,1.00000e-01,2.81940e+00,0.00000e+00
0,2.84480e+00,1.00000e-01,2.84480e+00,0.00000e+00
0,2.87020e+00,1.00000e-01,2.87020e+00,0.00000e+00
0,2.89560e+00,1.00000e-01,2.89560e+00,0.00000e+00
0,2.92100e+00,1.00000e-01,2.92100e+00,0.00000e+00
0,2.94640e+00,1.00000e-01,2.94640e+00,0.00000e+00
0,2.97180e+00,1.00000e-01,2.97180e+00,0.00000e+00
0,2.99720e+00,1.00000e-01,2.99720e+00,0.00000e+00
0,3.02260e+00,1.00000e-01,3.02260e+00,0.00000e+00
0,3.04800e+00,1.00000e-01,3.04800e+00,0.00000e+00
0,3.07340e+00,1.00000e-01,3.07340e+00,0.00000e+00
0,3.09880e+00,1.00000e-01,3.09880e+00,0.00000e+00
0,3.12420e+00,1.00000e-01,3.12420e+00,0.00000e+00
0,3.14960e+00,1.00000e-01,3.14960e+00,0.00000e+00
0,3.17500e+00,1.00000e-01,3.17500e+00,0.00000e+00
0,3.20040e+00,1.00000e-01,3.20040e+00,0.00000e+00
0,3.22580e+00,1.00000e-01,3.22580e+00,0.00000e+00
0,3.25120e+00,1.00000e-01,3.25120e+00,0.00000e+00
0,3.27660e+00,1.00000e-01,3.27660e+00,0.00000e+00
0,3.30200e+00,1.00000e-01,3.30200e+00,0.00000e+00
0,3.32740e+00,1.00000e-01,3.32740e+00,0.00000e+00
0,3.35280e+00,1.00000e-01,3.35280e+00,0.00000e+00
0,3.37820e+00,1.00000e-01,3.37820e+00,0.00000e+00
0,3.40360e+00,1.00000e-01,3.40360e+00,0.00000e+00
0,3.42900e+00,1.00000e-01,3.42900e+00,0.00000e+00
0,3.45440e+00,1.00000e-01,3.45440e+00,0.00000e+00
0,3.47980e+00,1.00000e-01,3.47980e+00,0.00000e+00
0,3.50520e+00,1.00000e-01,3.50520e+00,0.00000e+00
0,3.53060e+00,1.00000e-01,3.53060e+00,0.00000e+00
0,3.55600e+00,1.00000e-01,3.55600e+00,0.00000e+00
0,3.58140e+00,1.00000e-01,3.58140e+00,0.00000e+00
0,3.60680e+00,1.00000e-01,3.60680e+00,0.00000e+00
0,3.63220e+00,1.00000e-01,3.63220e+00,0.00000e+00
0,3.65760e+00,1.00000e-01,3.65760e+00,0.00000e+00
0,3.68300e+00,1.00000e-01,3.68300e+00,0.00000e+00
0,3.70840e+00,1.00000e-01,3.70840e+00,0.00000e+00
0,3.73380e+00,1.00000e-01,3.73380e+00,0.00000e+00
0,3.75920e+00,1.00000e-01,3.75920e+00,0.00000e+00
0,3.78460e+00,1.00000e-01,3.78460e+00,0.00000e+00
0,3.81000e+00,1.00000e-01,3.81000e+00,0.00000e+00
0,3.83540e+00,1.00000e-01,3.83540e+00,0.00000e+00
0,3.86080e+00,1.00000e-01,3.86080e+00,0.00000e+00
0,3.88620e+00,1.00000e-01,3.88620e+00,0.00000e+00
0,3.91160e+00,1.00000e-01,3.91160e+00,0.00000e+00
0,3.93700e+00,1.00000e-01,3.93700e+00,0.00000e+00
0,3.96240e+00,1.00000e-01,3.96240e+00,0.00000e+00
0,3.98780e+00,1.00000e-01,3.98780e+00,0.00000e+00
