"sigma (Pa)","vtkValidPointMask","vtkGhostType"
6.04726e-03,1,0
5.89615e-03,1,0
5.74504e-03,1,0
5.59394e-03,1,0
5.44283e-03,1,0
5.29172e-03,1,0
5.14061e-03,1,0
4.98950e-03,1,0
4.83839e-03,1,0
4.68729e-03,1,0
4.53618e-03,1,0
4.38507e-03,1,0
4.23396e-03,1,0
4.08285e-03,1,0
3.93174e-03,1,0
3.78063e-03,1,0
3.62953e-03,1,0
3.47842e-03,1,0
3.32731e-03,1,0
3.17620e-03,1,0
3.02509e-03,1,0
2.87398e-03,1,0
2.72288e-03,1,0
2.57177e-03,1,0
2.42066e-03,1,0
2.26955e-03,1,0
2.11844e-03,1,0
1.96733e-03,1,0
1.81622e-03,1,0
1.66512e-03,1,0
1.51401e-03,1,0
1.36290e-03,1,0
1.33808e-03,1,0
1.34241e-03,1,0
1.34674e-03,1,0
1.35107e-03,1,0
1.35540e-03,1,0
1.35972e-03,1,0
1.36405e-03,1,0
1.36838e-03,1,0
1.37271e-03,1,0
1.37704e-03,1,0
1.38137e-03,1,0
1.38569e-03,1,0
1.39002e-03,1,0
1.39435e-03,1,0
1.39868e-03,1,0
1.40301e-03,1,0
1.40733e-03,1,0
1.41166e-03,1,0
1.41599e-03,1,0
1.42032e-03,1,0
1.42465e-03,1,0
1.42898e-03,1,0
1.43330e-03,1,0
1.43763e-03,1,0
1.44196e-03,1,0
1.44629e-03,1,0
1.45062e-03,1,0
1.45495e-03,1,0
1.45927e-03,1,0
1.46360e-03,1,0
1.46793e-03,1,0
1.46491e-03,1,0
1.45748e-03,1,0
1.45005e-03,1,0
1.44262e-03,1,0
1.43519e-03,1,0
1.42775e-03,1,0
1.42032e-03,1,0
1.41289e-03,1,0
1.40546e-03,1,0
1.39803e-03,1,0
1.39060e-03,1,0
1.38317e-03,1,0
1.37574e-03,1,0
1.36831e-03,1,0
1.36088e-03,1,0
1.35345e-03,1,0
1.34601e-03,1,0
1.33858e-03,1,0
1.33115e-03,1,0
1.32372e-03,1,0
1.31629e-03,1,0
1.30886e-03,1,0
1.30143e-03,1,0
1.29400e-03,1,0
1.28657e-03,1,0
1.27914e-03,1,0
1.27170e-03,1,0
1.26427e-03,1,0
1.25684e-03,1,0
1.24941e-03,1,0
1.24198e-03,1,0
1.23349e-03,1,0
